idx,type,x1,x2,x3,x4,function_value,d_2,d_3,d_4,converging,distance_reduction
1,min,0.256625076922502,-1.01624596361443,0.256625076922502,-1.01624596361443,4.923502776613928e-27,0.3998655357343813,0.03357430978305013,0.03108193461620776,true,0.36878360111817354
2,saddle,0.256625076922502,-1.01624596361443,0.507030772828217,-0.917350578608486,0.28354478624479046,0.2839666868678485,0.2729601542732789,0.29087397801326853,false,-0.006907291145420047
3,min,0.256625076922502,-1.01624596361443,0.74115190368376,-0.741151903683748,3.23705374671949e-27,0.28381412581703,0.10549031904288317,0.117974494707487,true,0.16583963110954303
4,saddle,0.256625076922502,-1.01624596361443,0.917350578608475,-0.50703077282823,0.28354478624479046,0.28396668686784743,0.2729601542732943,0.2908739780132844,false,-0.006907291145436978
5,min,0.256625076922502,-1.01624596361443,1.01624596361443,-0.256625076922483,5.51503752196489e-27,0.3998655357343872,0.03357430978304419,0.03108193461619735,true,0.36878360111818986
6,saddle,0.507030772828217,-0.917350578608486,0.256625076922502,-1.01624596361443,0.28354478624479046,0.283966686867831,0.27296015427327847,0.2908739780132666,false,-0.00690729114543559
7,saddle,0.507030772828217,-0.917350578608486,0.507030772828217,-0.917350578608486,0.5670895724895809,0.03717138460229496,0.38456112305376894,0.41018197853030974,false,-0.3730105939280148
8,saddle,0.507030772828217,-0.917350578608486,0.74115190368376,-0.741151903683748,0.28354478624479046,0.035987367170072025,0.2907029737640345,0.3123452670159469,false,-0.2763578998458749
9,saddle,0.507030772828217,-0.917350578608486,0.917350578608475,-0.50703077282823,0.5670895724895809,0.037171384602287756,0.3845611230537799,0.41018197853032096,false,-0.3730105939280332
10,saddle,0.507030772828217,-0.917350578608486,1.01624596361443,-0.256625076922483,0.28354478624479046,0.2839666868678394,0.27296015427327774,0.29087397801326537,false,-0.006907291145425987
11,min,0.74115190368376,-0.741151903683748,0.256625076922502,-1.01624596361443,3.23705374671949e-27,0.2838141258169827,0.10549031904288358,0.11797449470747763,true,0.16583963110950506
12,saddle,0.74115190368376,-0.741151903683748,0.507030772828217,-0.917350578608486,0.28354478624479046,0.03598736717003784,0.2907029737640346,0.3123452670159455,false,-0.27635789984590764
13,min,0.74115190368376,-0.741151903683748,0.74115190368376,-0.741151903683748,1.5506047168250513e-27,0.03476304587366674,0.14535879934193946,0.1639203347467419,false,-0.12915728887307515
14,saddle,0.74115190368376,-0.741151903683748,0.917350578608475,-0.50703077282823,0.28354478624479046,0.03598736717002554,0.2907029737640508,0.3123452670159581,false,-0.27635789984593256
15,min,0.74115190368376,-0.741151903683748,1.01624596361443,-0.256625076922483,3.828588492070452e-27,0.28381412581697396,0.10549031904288114,0.11797449470747137,true,0.1658396311095026
16,saddle,0.917350578608475,-0.50703077282823,0.256625076922502,-1.01624596361443,0.28354478624479046,0.2839666868678303,0.2729601542732949,0.2908739780132835,false,-0.006907291145453243
17,saddle,0.917350578608475,-0.50703077282823,0.507030772828217,-0.917350578608486,0.5670895724895809,0.037171384602287486,0.3845611230537806,0.4101819785303216,false,-0.37301059392803415
18,saddle,0.917350578608475,-0.50703077282823,0.74115190368376,-0.741151903683748,0.28354478624479046,0.03598736717005384,0.29070297376405146,0.3123452670159622,false,-0.27635789984590836
19,saddle,0.917350578608475,-0.50703077282823,0.917350578608475,-0.50703077282823,0.5670895724895809,0.03717138460228063,0.3845611230537914,0.41018197853033306,false,-0.3730105939280524
20,saddle,0.917350578608475,-0.50703077282823,1.01624596361443,-0.256625076922483,0.28354478624479046,0.28396668686783905,0.27296015427329406,0.2908739780132824,false,-0.006907291145443362
21,min,1.01624596361443,-0.256625076922483,0.256625076922502,-1.01624596361443,5.51503752196489e-27,0.3998655357343861,0.03357430978304405,0.03108193461619812,true,0.368783601118188
22,saddle,1.01624596361443,-0.256625076922483,0.507030772828217,-0.917350578608486,0.28354478624479046,0.2839666868678549,0.27296015427327813,0.29087397801326725,false,-0.006907291145412331
23,min,1.01624596361443,-0.256625076922483,0.74115190368376,-0.741151903683748,3.828588492070452e-27,0.2838141258170166,0.10549031904288117,0.11797449470748468,true,0.16583963110953193
24,saddle,1.01624596361443,-0.256625076922483,0.917350578608475,-0.50703077282823,0.28354478624479046,0.2839666868678539,0.2729601542732935,0.2908739780132834,false,-0.006907291145429484
25,min,1.01624596361443,-0.256625076922483,1.01624596361443,-0.256625076922483,6.1065722673158524e-27,0.3998655357343922,0.03357430978303807,0.031081934616187898,true,0.3687836011182043
