degree,point_type,n_subdomains,n_matched_subdomains,total_theoretical,total_matched,avg_relative_error,max_relative_error,median_relative_error
3,min,9,4,9,4,0.04200873637439381,0.04200873637439451,0.04200873637439381
4,min,9,4,9,4,0.026266094904532612,0.026266094904533407,0.02626609490453266
6,saddle,9,8,40,16,0.22204813052423553,0.5775089480282044,0.13048227501366527
6,min,9,9,9,9,0.13747628830041222,0.327671373541345,0.1850250596106217
5,saddle,9,8,40,16,0.1803453175409146,0.36334122654254786,0.15783939763400595
5,min,9,9,9,9,0.0703039862887305,0.15095767117802694,0.0904674075110225
8,saddle,9,8,40,16,0.23992789917588503,0.7374902980699904,0.08836903739965908
8,min,9,9,9,9,0.16631690308858585,0.4198972906172327,0.22971199997069336
7,saddle,9,8,40,16,0.24216586887702765,0.7534848746170719,0.08460904089563757
7,min,9,9,9,9,0.16965333719018624,0.42903111680567496,0.23449778209402186
