point_id,x1,x2,function_value,timestamp
1,0.0,0.0,2.0,2025-08-09T14:20:54.557
2,0.5,0.5,0.747403959254523,2025-08-09T14:20:54.615
3,1.0,1.0,0.8414709848078965,2025-08-09T14:20:54.615
4,1.5,1.5,1.278073196887921,2025-08-09T14:20:54.615
5,-0.5,0.5,2.2525960407454773,2025-08-09T14:20:54.615
6,0.0,1.0,1.0,2025-08-09T14:20:54.615
7,2.0,0.0,2.0,2025-08-09T14:20:54.615
8,-1.0,-1.0,8.841470984807897,2025-08-09T14:20:54.615
9,0.25,0.75,0.8114032967622699,2025-08-09T14:20:54.615
10,1.25,0.25,0.9324385145803809,2025-08-09T14:20:54.616
